                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5635,                 4.5777,                 1.1635,                 0.0272,                0.35661,                 0.0553,                0.02272,                 1.7793,                 4.4546,                 1.4136,                 0.0757,                 0.0027,                 0.0027
                      2,                 1.7479,                 4.0096,                 1.4531,                0.27533,                0.02273,                0.00194,                0.00061,                  1.947,                 88.805,                 2.3194,               0.050319,              0.0053185,              0.0053185
                      3,                 1.8124,                 3.8063,                 1.4517,                0.27533,                0.02273,                0.00194,                0.00061,                 2.9632,                 9968.6,                 8.7739,               0.024752,              0.0077522,              0.0077522
                      4,                  2.126,                 4.3205,                  1.604,                0.27533,                0.02273,                0.00194,                0.00061,                 4.0158,                  57140,                 20.952,                0.00901,                0.00901,                0.00901
                      5,                 1.7925,                 4.2047,                 1.3968,                0.00909,                0.02273,                0.00451,                0.00126,                  2.784,                   5044,                 3.2184,                0.00901,                0.00901,                0.00901
                      6,                  1.923,                 4.0627,                 1.4893,                0.00081,                0.02273,                0.00052,                 0.0001,                 3.2202,                   9178,                 3.6073,                0.00868,                0.00868,                0.00868
                      7,                 1.9037,                 3.5241,                 1.4687,                0.00127,                0.02273,                0.00065,                  6e-05,                 2.2016,                 487.93,                 3.5685,                0.00835,                0.00835,                0.00835
                      8,                  1.763,                 3.2187,                 1.3383,                0.10753,                0.09043,                0.01928,                0.00584,                 2.3548,                 217.55,                 1.9772,                0.00802,                0.00802,                0.00802
                      9,                 1.6167,                 3.1735,                 1.3184,                0.03546,                0.28837,                0.04117,                0.01528,                 2.1377,                 11.708,                 1.8204,                0.00769,                0.00769,                0.00769
                     10,                 1.5643,                 3.0688,                 1.3029,                0.19761,                0.09801,                0.05619,                0.02849,                 1.9086,                 7.1311,                 1.6943,                0.00736,                0.00736,                0.00736
                     11,                 1.4211,                 3.0837,                 1.2349,                0.64921,                0.05245,                0.05305,                0.02507,                 1.8936,                 5.6694,                 1.7079,                0.00703,                0.00703,                0.00703
                     12,                 1.5389,                 3.0603,                 1.3618,                0.35407,                0.11072,                0.12148,                 0.0834,                 1.8271,                 3.2827,                  1.734,                 0.0067,                 0.0067,                 0.0067
                     13,                  1.524,                 2.9231,                 1.3663,                0.30985,                0.25882,                 0.1398,                0.08748,                 1.5651,                 2.9272,                 1.4949,                0.00637,                0.00637,                0.00637
                     14,                  1.488,                 2.9146,                 1.3422,                 0.3064,                0.29723,                0.15671,                0.08722,                 1.6386,                 3.0981,                 1.5013,                0.00604,                0.00604,                0.00604
                     15,                 1.4949,                 2.7773,                 1.3045,                0.31696,                0.33828,                0.15985,                0.08664,                 1.6911,                 3.1546,                 1.5547,                0.00571,                0.00571,                0.00571
                     16,                 1.4852,                 2.7419,                 1.2722,                0.13063,                0.50933,                0.20724,                0.12581,                 1.5376,                 2.7516,                 1.4153,                0.00538,                0.00538,                0.00538
                     17,                 1.4133,                 2.6178,                 1.2661,                0.17715,                0.57327,                0.20152,                0.12146,                 1.3804,                 2.5673,                 1.3298,                0.00505,                0.00505,                0.00505
                     18,                 1.4168,                 2.6241,                 1.2289,                0.14237,                0.67829,                0.19606,                0.10671,                 1.4268,                 2.6692,                 1.3135,                0.00472,                0.00472,                0.00472
                     19,                 1.4029,                 2.4922,                 1.2426,                0.13823,                0.61213,                0.19308,                0.11116,                 1.4677,                  2.683,                 1.3239,                0.00439,                0.00439,                0.00439
                     20,                 1.3992,                 2.5719,                 1.2688,                0.19147,                0.45918,                0.17489,                0.11181,                 1.3829,                  2.451,                  1.299,                0.00406,                0.00406,                0.00406
                     21,                 1.1392,                 2.3996,                 1.1643,                0.25586,                0.50471,                0.17509,                0.10836,                 1.3714,                 2.4574,                 1.2686,                0.00373,                0.00373,                0.00373
                     22,                 1.1668,                 2.3377,                 1.1361,                0.36208,                 0.3479,                0.17112,                0.09585,                 1.3338,                 2.4876,                 1.2168,                 0.0034,                 0.0034,                 0.0034
                     23,                 1.1015,                 2.2635,                 1.0907,                0.34833,                0.39172,                 0.1594,                0.08702,                 1.3449,                 2.5604,                 1.2261,                0.00307,                0.00307,                0.00307
                     24,                 1.0919,                 2.2591,                 1.0771,                0.46257,                0.24242,                0.17452,                0.09903,                 1.2963,                 2.5465,                 1.2092,                0.00274,                0.00274,                0.00274
                     25,                 1.1815,                  2.352,                 1.1217,                0.36632,                   0.25,                0.26584,                0.16787,                  1.301,                 2.4667,                 1.2275,                0.00241,                0.00241,                0.00241
                     26,                 1.0711,                 2.1439,                 1.0901,                 0.0706,                0.46459,                0.25261,                0.16878,                 1.2928,                 2.4631,                 1.2421,                0.00208,                0.00208,                0.00208
                     27,                 1.0718,                 2.3194,                 1.0961,                 0.1631,                0.45984,                0.24734,                0.16709,                 1.3023,                 2.4597,                 1.2391,                0.00175,                0.00175,                0.00175
                     28,                 1.0571,                 2.1589,                 1.1109,                0.58614,                0.18182,                0.25487,                0.17432,                 1.2965,                 2.4436,                 1.2351,                0.00142,                0.00142,                0.00142
                     29,                 1.0393,                 2.1547,                 1.0711,                0.09163,                0.57245,                 0.2612,                 0.1746,                  1.297,                 2.4139,                 1.2384,                0.00109,                0.00109,                0.00109
                     30,                0.99344,                 2.1382,                 1.0357,                0.10465,                0.61111,                0.27218,                0.17889,                 1.3062,                 2.3929,                 1.2325,                0.00076,                0.00076,                0.00076
