                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4706,                 3.7902,                 1.1507,                0.11952,                0.47961,                0.15452,                0.08898,                 1.0882,                 3.7257,                0.95484,                 0.0946,                 0.0006,                 0.0006
                      2,                 1.3218,                 2.6404,                 1.0741,                0.20546,                0.16494,                0.04542,                0.01676,                 1.4763,                 3.3435,                 1.1514,               0.088287,              0.0012871,              0.0012871
                      3,                 1.2451,                 2.0919,                 1.0571,                0.00305,                 0.0409,                0.00146,                0.00091,                 1.4204,                 21.434,                 1.2257,                0.08196,              0.0019604,              0.0019604
                      4,                 1.1969,                 1.8213,                 1.0323,                0.00088,                0.01699,                 0.0005,                0.00019,                 1.7634,                  38.43,                 2.0984,                0.07562,              0.0026198,              0.0026198
                      5,                 1.1788,                 1.6204,                 1.0355,                0.02619,                0.10048,                0.03181,                0.01808,                 2.6426,                 5.5479,                 2.6465,               0.069265,              0.0032654,              0.0032654
                      6,                 1.2148,                 1.4358,                  1.052,                0.00555,                0.00581,                0.00148,                0.00031,                  3.236,                 5.8363,                  2.831,               0.062897,               0.003897,               0.003897
                      7,                 1.2063,                 1.2973,                 1.0712,                0.00555,                0.00581,                0.00148,                0.00031,                 5.7004,                 999.51,                 13.178,               0.056515,              0.0045149,              0.0045149
                      8,                 1.1214,                 1.2573,                 1.0369,                  5e-05,                0.00189,                  2e-05,                  1e-05,                 4.0869,                 11.352,                  5.168,               0.050119,              0.0051188,              0.0051188
                      9,                 1.1681,                 1.2101,                 1.0707,                  5e-05,                0.00189,                  2e-05,                  1e-05,                 4.3034,                 9.0561,                 6.3627,               0.043709,               0.005709,               0.005709
                     10,                 1.1213,                 1.1638,                 1.0388,                0.14368,                0.22368,                0.15033,                0.08262,                 1.9927,                 3.0713,                 1.9762,               0.037285,              0.0062852,              0.0062852
                     11,                 1.0661,                 1.0338,                  1.011,                0.37255,                0.39288,                0.34735,                0.22394,                 1.2491,                  3.355,                 1.3033,               0.030848,              0.0068476,              0.0068476
                     12,                 1.0439,                 1.0337,                 1.0111,                0.32828,                0.15759,                0.09178,                0.05771,                 1.5202,                 13.566,                 1.6401,               0.024396,              0.0073961,              0.0073961
                     13,                 1.1296,                 1.0467,                  1.046,                0.71294,                0.28632,                0.39163,                0.19835,                 1.7257,                 2.4131,                 1.7308,               0.017931,              0.0079308,              0.0079308
                     14,                 1.1742,                 1.0268,                 1.0759,                0.64779,                0.41343,                0.50397,                 0.3239,                 1.1761,                 2.1747,                 1.1817,               0.011452,              0.0084516,              0.0084516
                     15,                 1.0954,                0.99259,                 1.0248,                0.19838,                0.03267,                0.06137,                0.03367,                 1.4916,                 12.972,                 1.3688,               0.008614,               0.008614,               0.008614
                     16,                 1.0446,                0.93575,                 1.0084,                0.04167,                0.00663,                0.02437,                0.01583,                 1.9248,                 21.788,                 1.7158,               0.008614,               0.008614,               0.008614
                     17,                 1.0456,                0.86342,                 1.0056,                0.35116,                0.29817,                0.26844,                 0.1825,                 1.4675,                 6.9063,                 1.3877,               0.008515,               0.008515,               0.008515
                     18,                 1.0574,                0.87973,                  1.007,                0.55241,                0.30054,                0.37143,                0.22721,                 1.5746,                   3.11,                 1.3954,               0.008416,               0.008416,               0.008416
                     19,                 1.0619,                0.83926,                 1.0164,                0.49401,                0.36372,                0.35587,                0.18603,                 1.7232,                 2.0134,                 1.5736,               0.008317,               0.008317,               0.008317
                     20,                 1.0288,                0.81558,                 1.0124,                0.77331,                0.58568,                  0.709,                0.47365,                 1.1209,                 1.2807,                 1.1271,               0.008218,               0.008218,               0.008218
                     21,                 1.0638,                0.83014,                 1.0354,                0.52238,                0.66349,                0.62549,                 0.3508,                 1.5017,                 1.8935,                 1.3195,               0.008119,               0.008119,               0.008119
                     22,                 1.0423,                0.81108,                 1.0216,                0.73855,                0.64575,                0.76383,                 0.5501,                 1.1291,                 1.8167,                 1.1999,                0.00802,                0.00802,                0.00802
                     23,                 1.0307,                0.78791,                 1.0095,                0.74285,                 0.7764,                0.84884,                0.58982,                 1.0235,                 1.0718,                 1.0812,               0.007921,               0.007921,               0.007921
                     24,                0.99577,                0.74084,                 0.9826,                0.79249,                0.72438,                0.82668,                0.61379,                0.99728,                 1.0272,                  1.037,               0.007822,               0.007822,               0.007822
                     25,                0.95895,                 0.7304,                0.97709,                0.49992,                0.70549,                0.68539,                0.50552,                  1.051,                 1.4877,                 1.0565,               0.007723,               0.007723,               0.007723
                     26,                 1.0284,                0.72779,                0.99386,                0.82391,                0.79568,                0.89641,                0.64886,                 1.0695,                 1.2959,                 1.0821,               0.007624,               0.007624,               0.007624
                     27,                 1.0262,                0.72828,                 1.0139,                0.83923,                0.85918,                 0.8997,                0.67095,                 1.0125,                0.71977,                 1.0533,               0.007525,               0.007525,               0.007525
                     28,                 0.9548,                0.68388,                0.99317,                0.94409,                0.98577,                0.98693,                0.75082,                0.95548,                0.59965,                 1.0385,               0.007426,               0.007426,               0.007426
                     29,                0.98074,                0.66932,                0.99151,                0.85063,                0.92656,                0.95478,                0.60607,                 1.2278,                0.77722,                 1.1677,               0.007327,               0.007327,               0.007327
                     30,                0.94972,                0.66689,                0.97272,                0.90834,                0.95968,                0.96188,                0.68503,                  1.134,                0.69124,                 1.1102,               0.007228,               0.007228,               0.007228
                     31,                0.98978,                0.67806,                0.98685,                0.92148,                0.93884,                0.97765,                0.72857,                 0.9648,                0.64799,                 1.0365,               0.007129,               0.007129,               0.007129
                     32,                 0.9681,                0.70205,                0.97041,                0.94142,                0.91147,                0.97445,                 0.7328,                0.90479,                0.64407,                 1.0099,                0.00703,                0.00703,                0.00703
                     33,                0.93805,                0.65579,                0.96505,                0.88354,                0.87778,                0.95403,                0.73495,                0.86498,                0.65707,                0.99897,               0.006931,               0.006931,               0.006931
                     34,                0.92022,                0.64514,                0.96979,                0.88304,                0.97601,                0.97535,                0.76818,                0.86777,                0.60543,                0.98021,               0.006832,               0.006832,               0.006832
                     35,                0.93768,                0.64749,                0.96583,                0.93294,                0.93301,                0.98039,                0.72739,                0.95973,                0.62088,                 1.0404,               0.006733,               0.006733,               0.006733
                     36,                0.93301,                  0.642,                0.97837,                0.94797,                0.98738,                0.97533,                0.72407,                0.98232,                0.57496,                 1.0501,               0.006634,               0.006634,               0.006634
                     37,                 0.9168,                0.60905,                0.95393,                0.95648,                0.96969,                0.98015,                0.77849,                 0.8768,                0.54591,                0.99977,               0.006535,               0.006535,               0.006535
                     38,                0.90324,                0.61691,                0.97555,                0.92421,                0.93886,                0.97806,                0.71465,                  1.024,                0.68506,                 1.0336,               0.006436,               0.006436,               0.006436
                     39,                0.89737,                0.59305,                0.96182,                0.93962,                0.97979,                0.98368,                 0.7775,                0.85219,                 0.5343,                0.97919,               0.006337,               0.006337,               0.006337
                     40,                 0.9768,                0.61285,                0.98313,                0.88429,                0.96207,                0.97798,                0.75045,                0.91149,                0.61944,                 1.0077,               0.006238,               0.006238,               0.006238
                     41,                0.95077,                0.63763,                0.98596,                0.95509,                 0.9679,                0.97603,                0.70702,                0.98418,                 0.5526,                 1.0502,               0.006139,               0.006139,               0.006139
                     42,                0.98614,                0.62754,                 0.9853,                 0.9548,                0.97087,                0.97247,                0.77278,                0.85193,                0.54539,                0.99047,                0.00604,                0.00604,                0.00604
                     43,                0.95937,                0.63052,                0.98206,                0.95602,                0.99283,                0.97513,                0.77968,                0.84171,                0.53825,                0.98741,               0.005941,               0.005941,               0.005941
                     44,                0.95824,                0.64607,                0.97974,                0.94761,                0.98156,                0.98217,                0.78586,                0.85635,                0.52012,                0.97994,               0.005842,               0.005842,               0.005842
                     45,                 0.8879,                0.59473,                0.95728,                0.92731,                0.94183,                0.98347,                0.73718,                0.93257,                 0.6212,                 1.0285,               0.005743,               0.005743,               0.005743
                     46,                0.92447,                0.59793,                0.97141,                0.96267,                0.96251,                0.98188,                0.77148,                0.84695,                0.51872,                 0.9931,               0.005644,               0.005644,               0.005644
                     47,                0.88749,                0.59576,                0.96154,                0.95695,                0.98927,                0.97747,                0.77353,                0.86487,                0.48741,                0.99796,               0.005545,               0.005545,               0.005545
                     48,                0.90581,                   0.57,                0.97603,                0.95043,                 0.9841,                0.97478,                0.78778,                0.79778,                 0.4909,                0.96283,               0.005446,               0.005446,               0.005446
                     49,                0.91635,                0.59764,                0.98931,                 0.9641,                0.99202,                0.98077,                0.77246,                0.84634,                0.46415,                0.97218,               0.005347,               0.005347,               0.005347
                     50,                0.88463,                0.55759,                0.96391,                0.96733,                0.99353,                0.97951,                0.79736,                0.81196,                0.46366,                0.95323,               0.005248,               0.005248,               0.005248
                     51,                0.86149,                0.55609,                0.95686,                0.96843,                0.98634,                 0.9845,                0.75952,                0.93522,                0.49013,                 1.0229,               0.005149,               0.005149,               0.005149
                     52,                0.84406,                0.55801,                0.93662,                0.96068,                0.99281,                0.97975,                0.75843,                0.89512,                0.47166,                 1.0237,                0.00505,                0.00505,                0.00505
                     53,                0.87111,                 0.5634,                 0.9759,                0.96052,                0.98602,                0.97811,                0.79412,                0.81037,                0.46577,                0.96163,               0.004951,               0.004951,               0.004951
                     54,                0.88436,                0.55008,                0.96364,                  0.969,                0.99117,                0.97788,                0.75514,                0.87358,                0.47487,                  1.003,               0.004852,               0.004852,               0.004852
